"Time","Great Sand Dunes National Park and Preserve","Great Smoky Mountains National Park","Guadalupe Mountains National Park","Haleakalā National Park","Hawaiʻi Volcanoes National Park","Hot Springs National Park","Indiana Dunes National Park","Isle Royale National Park"
"2012-02-01",2,3,1,4,4,1,1,1
"2012-03-01",3,3,1,4,5,1,3,1
"2012-04-01",4,3,1,4,4,1,3,1
"2012-05-01",6,4,1,4,4,1,6,1
"2012-06-01",5,4,1,5,3,1,8,1
"2012-07-01",5,5,1,5,3,1,11,1
"2012-08-01",4,3,1,4,3,1,5,1
"2012-09-01",3,4,1,4,4,1,3,0
"2012-10-01",2,5,1,4,4,1,2,0
"2012-11-01",2,3,1,3,4,1,1,0
"2012-12-01",1,2,1,4,4,1,1,0
"2013-01-01",2,3,1,4,4,1,1,1
"2013-02-01",2,3,1,4,4,1,1,0
"2013-03-01",3,4,1,4,4,1,2,0
"2013-04-01",3,4,1,4,4,1,2,1
"2013-05-01",5,4,1,4,4,2,4,1
"2013-06-01",5,4,1,4,3,2,8,1
"2013-07-01",4,4,1,5,3,2,13,1
"2013-08-01",3,4,1,4,3,2,7,1
"2013-09-01",2,4,1,4,3,1,3,0
"2013-10-01",2,8,1,4,4,1,2,1
"2013-11-01",2,3,1,4,4,1,1,1
"2013-12-01",1,3,1,4,4,1,1,1
"2014-01-01",2,4,1,4,5,1,1,1
"2014-02-01",2,3,1,4,4,1,1,1
"2014-03-01",3,4,1,4,4,2,1,1
"2014-04-01",3,4,1,4,4,2,3,1
"2014-05-01",6,5,1,5,4,2,5,1
"2014-06-01",6,5,1,4,3,2,7,1
"2014-07-01",6,5,1,5,3,2,9,1
"2014-08-01",4,4,1,4,3,1,7,1
"2014-09-01",3,5,1,4,4,1,2,0
"2014-10-01",3,6,1,4,5,1,1,0
"2014-11-01",2,4,1,4,4,1,1,0
"2014-12-01",2,3,1,4,3,1,1,0
"2015-01-01",2,4,1,5,4,1,1,1
"2015-02-01",3,4,1,4,3,1,1,1
"2015-03-01",4,4,1,5,4,2,2,1
"2015-04-01",5,4,1,5,4,2,3,1
"2015-05-01",7,4,1,5,6,2,4,1
"2015-06-01",7,5,1,5,3,2,7,1
"2015-07-01",7,5,1,5,3,2,12,1
"2015-08-01",6,4,1,6,3,1,8,1
"2015-09-01",3,4,1,5,3,1,4,1
"2015-10-01",3,4,1,4,3,1,1,0
"2015-11-01",2,2,1,4,3,1,1,0
"2015-12-01",2,3,1,5,4,1,1,1
"2016-01-01",3,3,1,5,4,1,1,1
"2016-02-01",3,3,1,5,4,1,1,1
"2016-03-01",4,3,2,5,4,2,2,1
"2016-04-01",5,3,2,5,4,2,3,1
"2016-05-01",8,4,2,6,4,2,6,1
"2016-06-01",9,4,1,5,4,2,10,1
"2016-07-01",8,4,1,6,4,2,12,2
